GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment,com.omer.iyzico.util,OptionsRetriever,0,29,0,2,0,7,0,3,0,2
payment,com.omer.iyzico,TicketPaymentApplication,5,3,0,0,2,1,1,1,1,1
payment,com.omer.iyzico.checkers,BinNumberCheck,0,16,0,0,0,5,0,2,0,2
payment,com.omer.iyzico.checkers,PaymentCheck,34,469,21,55,9,85,21,28,0,8
payment,com.omer.iyzico.model,Sale,0,31,0,0,0,14,0,9,0,9
payment,com.omer.iyzico.model,Ticket,4,41,0,0,2,17,1,12,1,12
payment,com.omer.iyzico.model,Request,0,38,0,0,0,16,0,11,0,11
payment,com.omer.iyzico.model,Log,0,31,0,0,0,14,0,9,0,9
payment,com.omer.iyzico.controller,PaymentController,0,24,0,0,0,5,0,3,0,3
payment,com.omer.iyzico.controller,SaleController,0,29,0,0,0,6,0,3,0,3
payment,com.omer.iyzico.controller,TicketController,33,29,0,0,7,6,3,3,3,3
payment,com.omer.iyzico.controller,LogController,0,29,0,0,0,6,0,3,0,3
payment,com.omer.iyzico.service,SaleService,0,23,0,0,0,6,0,5,0,5
payment,com.omer.iyzico.service,TicketService,0,23,0,0,0,6,0,5,0,5
payment,com.omer.iyzico.service,LogService,0,23,0,0,0,6,0,5,0,5
